unnamed02,unnamed01,unnamed0,filename,diff,linearvotersfailure,gamma,mirror,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2,State,Date,ElectionType
73,73,73,Berkeley_11062012_CityCouncilDistrict3.csv,[],no,1.0,,2,LOCAL,NO,R,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,MAX ANDERSON,0.995996,0.28678736,0.0,,0.0,Berkeley,11062012,CityCouncilDistrict3
74,74,74,Berkeley_11062012_CityCouncilDistrict5.csv,[],no,1.0,,2,LOCAL,NO,R,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,LAURIE CAPITELLI,0.995996,0.390625,0.0,,0.0,Berkeley,11062012,CityCouncilDistrict5
75,75,75,Berkeley_11062012_CityCouncilDistrict6.csv,[],no,1.0,,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.1961962,0.0,0.0,,0.0,Berkeley,11062012,CityCouncilDistrict6
76,76,76,Berkeley_11062012_Mayor.csv,[],no,0.85551387,,7,LOCAL,NO,E,TOM BATES,TOM BATES,TOM BATES,TOM BATES,,TOM BATES,TOM BATES,TOM BATES,TOM BATES,0.54754752,0.0,0.0,0.032532517,0.0,Berkeley,11062012,Mayor
77,77,77,Berkeley_11062018_CityAuditor.csv,[],no,1.0,,2,LOCAL,NO,O,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,,JENNY WONG,JENNY WONG,JENNY WONG,JENNY WONG,0.2112112,0.0,0.0,,0.0,Berkeley,11062018,CityAuditor
78,78,78,Berkeley_11062018_CityCouncilDistrict1.csv,[],no,0.85960466,,4,LOCAL,NO,R,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,0.087087087,0.045146853,0.0,2.4932632,0.0,Berkeley,11062018,CityCouncilDistrict1
79,79,79,Berkeley_11062018_CityCouncilDistrict4.csv,['Approval'],no,0.89405543,,3,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,,KATE HARRISON,KATE HARRISON,BEN GOULD,KATE HARRISON,0.47847849,0.2385764,0.0,1.8588856,0.0,Berkeley,11062018,CityCouncilDistrict4
80,80,80,Berkeley_11062018_CityCouncilDistrict7.csv,[],no,0.93070364,,3,LOCAL,NO,R,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,RIGEL ROBINSON,0.4034034,0.056531806,0.0,2.2352295,0.0,Berkeley,11062018,CityCouncilDistrict7
81,81,81,Berkeley_11062018_CityCouncilDistrict8.csv,[],no,0.88188618,,4,LOCAL,NO,R,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,0.16916917,0.0,0.0,1.8169959,0.0,Berkeley,11062018,CityCouncilDistrict8
82,82,82,Berkeley_11082016_CityCouncilDistrict2.csv,['Plurality'],no,0.86450166,,3,LOCAL,NO,R,CHERYL DAVILA,CHERYL DAVILA,CHERYL DAVILA,DARRYL MOORE,,CHERYL DAVILA,CHERYL DAVILA,CHERYL DAVILA,CHERYL DAVILA,0.55055058,0.02711436,0.0,2.4837875,0.0,Berkeley,11082016,CityCouncilDistrict2
83,83,83,Berkeley_11082016_CityCouncilDistrict3.csv,[],no,0.84234172,,4,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,0.15715715,0.0,0.0,1.6960413,0.0,Berkeley,11082016,CityCouncilDistrict3
84,84,84,Berkeley_11082016_CityCouncilDistrict5.csv,[],no,1.0,,2,LOCAL,NO,R,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,0.995996,0.25287724,0.0,,0.0,Berkeley,11082016,CityCouncilDistrict5
85,85,85,Berkeley_11082016_CityCouncilDistrict6.csv,[],no,0.88238448,,3,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.51951951,0.19620222,0.0,1.5885623,0.0,Berkeley,11082016,CityCouncilDistrict6
86,86,86,Berkeley_11082016_Mayor.csv,[],no,0.90315616,,8,LOCAL,NO,E,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,0.047047049,0.0,0.0,3.2114561,0.0,Berkeley,11082016,Mayor
87,87,87,Burlington_03032009_Mayor.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.65128207,,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Andy Montroll,Kurt Wright,,Andy Montroll,Kurt Wright,Andy Montroll,Andy Montroll,0.62562561,0.35541821,0.43145344,2.9922833,1.0,Burlington,03032009,Mayor
88,88,88,Burlington_03072006_Mayor.csv,[],no,0.72074467,,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Bob Kiss,Bob Kiss,,Hinda Miller,Bob Kiss,Hinda Miller,Bob Kiss,0.35735735,0.014119027,0.0,2.7474413,1.0,Burlington,03072006,Mayor
89,89,89,Burlington_03072023_CityCouncilCentralDistrict.csv,[],no,1.0,,2,LOCAL,YES,R,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,0.993994,0.28421703,0.0,,1.0,Burlington,03072023,CityCouncilCentralDistrict
90,90,90,Burlington_03072023_CityCouncilEastDistrict.csv,[],no,1.0,,2,LOCAL,YES,R,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",0.991992,0.41530946,0.0,,1.0,Burlington,03072023,CityCouncilEastDistrict
91,91,91,Burlington_03072023_CityCouncilSouthDistrict.csv,[],no,0.88161808,,3,LOCAL,YES,R,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,0.52952951,0.030745292,0.0,0.29523709,1.0,Burlington,03072023,CityCouncilSouthDistrict
92,92,92,Corvallis_11082022_CityCouncilWard9.csv,[],no,0.84599507,,3,LOCAL,NO,R,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena,,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena,0.47047046,0.038704988,0.0,2.1673346,0.0,Corvallis,11082022,CityCouncilWard9
93,93,93,Corvallis_11082022_Mayor.csv,"['IRV', 'Condorcet', 'Plurality']",yes,0.80626065,,3,LOCAL,NO,E,Charles Maughan,Andrew Struthers,Charles Maughan,Charles Maughan,,Andrew Struthers,Andrew Struthers,Andrew Struthers,Andrew Struthers,0.4104104,0.40303853,0.47444478,2.4427605,0.0,Corvallis,11082022,Mayor
94,94,94,Easthampton_11022021_Mayor.csv,[],no,0.86026204,,66,LOCAL,YES,E,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,0.4924925,0.0,0.0,0.0429186,1.0,Easthampton,11022021,Mayor
95,95,95,Eastpointe_11052019_CityCouncil.csv,[],no,0.69992006,,4,LOCAL,NO,R,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,0.33033034,0.14155786,0.0,3.6070623,0.0,Eastpointe,11052019,CityCouncil
96,96,96,ElkRidge_11022021_Mayor.csv,[],no,0.90145147,,3,LOCAL,NO,E,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,0.48048049,0.061768286,0.0,2.9794569,0.0,ElkRidge,11022021,Mayor
97,97,97,Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,[],no,0.85318524,,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,0.11011011,0.0,0.0,0.62294054,,Hawaii,05232020,PresidentoftheUnitedStateCD1
98,98,98,Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,[],no,0.86144787,,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,0.11511511,0.0,0.0,0.59222627,,Hawaii,05232020,PresidentoftheUnitedStateCD1CD2
99,99,99,Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,[],no,0.85921639,,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,0.077077076,0.0,0.0,1.2828032,,Hawaii,05232020,PresidentoftheUnitedStateCD2
100,100,100,Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,[],no,0.77584553,,5,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,0.1911912,0.059452239,0.0,0.94778562,,Kansas,05022020,PRESIDENTOFTHEUNITEDSTATES
101,101,101,LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,[],no,0.75066668,,4,LOCAL,NO,R,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,0.61861861,0.13484664,0.0,3.2161825,0.0,LasCruces,11052019,COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR
102,102,102,LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,['Approval'],no,0.78333336,,3,LOCAL,NO,R,JOHANA BENCOMO,JOHANA BENCOMO,JOHANA BENCOMO,JOHANA BENCOMO,,JOHANA BENCOMO,JOHANA BENCOMO,ANTOINETTE M REYES,JOHANA BENCOMO,0.98598599,0.3429971,0.47590399,2.9770668,0.0,LasCruces,11052019,COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR
103,103,103,LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,[],no,0.49374023,,10,LOCAL,NO,E,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,0.15715715,0.13759601,0.15913582,1.6323922,0.0,LasCruces,11052019,MAYORCITYOFLASCRUCES
104,104,104,Maine_06122018_DemocraticPrimaryforCD2.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.75908899,,4,FEDERAL,DP,R,"Golden, Jared F.","St. Clair, Lucas R.","Golden, Jared F.","Golden, Jared F.",,"St. Clair, Lucas R.","Golden, Jared F.","St. Clair, Lucas R.","Golden, Jared F.",0.25325325,0.20226701,0.26195213,3.246089,,Maine,06122018,DemocraticPrimaryforCD2
105,105,105,Maine_06122018_DemocraticPrimaryforGovernor.csv,[],no,0.42597014,,7,STATE,DP,E,"Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Mills, Janet T.",,"Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Mills, Janet T.",0.12012012,0.0,0.0,3.015255,,Maine,06122018,DemocraticPrimaryforGovernor
106,106,106,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.81180668,,3,STATE,DP,R,"Zager, Samuel Lewis","Grant, Benjamin K.","Zager, Samuel Lewis","Zager, Samuel Lewis",,"Grant, Benjamin K.","Grant, Benjamin K.","Grant, Benjamin K.","Zager, Samuel Lewis",0.44744745,0.30611682,0.46158114,2.9568048,,Maine,07142020,DemocraticCandidateforMaineStateHouseDistrict41
107,107,107,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,[],no,0.81610578,,3,STATE,DP,R,"Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.",,"Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.",0.47847849,0.03682746,0.0,3.1996295,,Maine,07142020,DemocraticCandidateforMaineStateHouseDistrict47
108,108,108,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.77624309,,3,STATE,DP,R,"Arford, Poppy","Perreault, Corinne Ann","Arford, Poppy","Arford, Poppy",,"Perreault, Corinne Ann","Arford, Poppy","Perreault, Corinne Ann","Arford, Poppy",0.97897899,0.43989107,0.48880345,2.6068902,,Maine,07142020,DemocraticCandidateforMaineStateHouseDistrict49
109,109,109,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.8003943,,3,STATE,DP,R,"Crafts, Lydia V.","Pieh, Wendy","Crafts, Lydia V.","Crafts, Lydia V.",,"Pieh, Wendy","Pieh, Wendy","Pieh, Wendy","Crafts, Lydia V.",0.45745745,0.29928416,0.47249246,3.1116588,,Maine,07142020,DemocraticCandidateforMaineStateHouseDistrict90
110,110,110,Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.78136808,,3,STATE,DP,R,"Curry, Glenn Chip","Stanicki, Robyn M.","Curry, Glenn Chip","Curry, Glenn Chip",,"Stanicki, Robyn M.","Stanicki, Robyn M.","Stanicki, Robyn M.","Curry, Glenn Chip",0.47147146,0.38861951,0.48588598,2.4546297,,Maine,07142020,DemocraticCandidateforMaineStateSenateDistrict11
111,111,111,Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,[],no,0.86415285,,3,FEDERAL,NO,R,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John",,"Crafts, Dale John","Crafts, Dale John","Crafts, Dale John","Crafts, Dale John",0.48448449,0.0,0.0,2.232409,,Maine,07142020,RepublicanCandidateforUSHouseofRepresentativesDistrict2
112,112,112,Maine_11062018_CongressionalDistrict2.csv,[],no,0.84378713,YES,4,FEDERAL,YES,R,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","REP Poliquin, Bruce",,"DEM Golden, Jared F.","REP Poliquin, Bruce","DEM Golden, Jared F.","DEM Golden, Jared F.",0.98398399,0.40529293,0.31530905,3.038543,1.0,Maine,11062018,CongressionalDistrict2
113,113,113,Maine_11082022_CongressionalDistrict2.csv,[],no,0.95457411,YES,3,FEDERAL,YES,R,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest",,"Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest","Golden, Jared Forrest",0.98398399,0.35182542,0.44016299,2.9989614,1.0,Maine,11082022,CongressionalDistrict2
114,114,114,Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,[],no,0.88471991,,12,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,0.082082085,0.081753582,0.081753582,3.1124556,0.0,Minneapolis,08112020,Ward6CityCouncilSpecialElection
115,115,115,Minneapolis_11022021_CityCouncilWard1.csv,['Approval'],no,0.82543993,,4,LOCAL,NO,R,Elliott Payne,Elliott Payne,Elliott Payne,Elliott Payne,,Elliott Payne,Elliott Payne,Kevin Reich,Elliott Payne,0.42742744,0.25,0.29171243,3.5760834,0.0,Minneapolis,11022021,CityCouncilWard1
116,116,116,Minneapolis_11022021_CityCouncilWard10.csv,[],no,0.89607823,,6,LOCAL,NO,R,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,Aisha Chughtai,0.46246246,0.11030312,0.16464159,2.1924758,0.0,Minneapolis,11022021,CityCouncilWard10
117,117,117,Minneapolis_11022021_CityCouncilWard11.csv,[],no,0.95059139,,5,LOCAL,NO,R,Emily Koski,Emily Koski,Emily Koski,Emily Koski,,Emily Koski,Emily Koski,Emily Koski,Emily Koski,0.0990991,0.0,0.0,2.8139541,0.0,Minneapolis,11022021,CityCouncilWard11
118,118,118,Minneapolis_11022021_CityCouncilWard12.csv,[],no,0.97845954,,3,LOCAL,NO,R,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,0.48248249,0.0,0.0,1.9494889,0.0,Minneapolis,11022021,CityCouncilWard12
119,119,119,Minneapolis_11022021_CityCouncilWard13.csv,[],no,0.95272529,,5,LOCAL,NO,R,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,,Linea Palmisano,Linea Palmisano,Linea Palmisano,Linea Palmisano,0.13413413,0.0,0.0,0.9722172,0.0,Minneapolis,11022021,CityCouncilWard13
120,120,120,Minneapolis_11022021_CityCouncilWard2.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,0.89559919,,5,LOCAL,NO,R,Robin Wonsley Worlobah,Cam Gordon,-1,Robin Wonsley Worlobah,,Cam Gordon,Yusra Arab,Cam Gordon,Yusra Arab,0.3113113,0.24963468,0.24963468,2.4504936,0.0,Minneapolis,11022021,CityCouncilWard2
121,121,121,Minneapolis_11022021_CityCouncilWard3.csv,[],no,0.92129767,,4,LOCAL,NO,R,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville,,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville,0.34834835,0.11100329,0.0,3.7996063,0.0,Minneapolis,11022021,CityCouncilWard3
122,122,122,Minneapolis_11022021_CityCouncilWard4.csv,[],no,0.9149524,,3,LOCAL,NO,R,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,LaTrisha Vetaw,0.36536536,0.14400899,0.0,2.428273,0.0,Minneapolis,11022021,CityCouncilWard4
123,123,123,Minneapolis_11022021_CityCouncilWard5.csv,"['IRV', 'Condorcet']",yes,0.82664233,,7,LOCAL,NO,R,Jeremiah Ellison,Kristel Porter,Jeremiah Ellison,Jeremiah Ellison,,Kristel Porter,Jeremiah Ellison,Kristel Porter,Kristel Porter,0.37737739,0.31215626,0.31215626,3.1268315,0.0,Minneapolis,11022021,CityCouncilWard5
124,124,124,Minneapolis_11022021_CityCouncilWard6.csv,[],no,1.0,,2,LOCAL,NO,R,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,,Jamal Osman,Jamal Osman,Jamal Osman,Jamal Osman,0.997998,0.1923077,0.0,,0.0,Minneapolis,11022021,CityCouncilWard6
125,125,125,Minneapolis_11022021_CityCouncilWard7.csv,[],no,0.94974571,,4,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,0.3093093,0.0,0.0,1.1115744,0.0,Minneapolis,11022021,CityCouncilWard7
126,126,126,Minneapolis_11022021_CityCouncilWard8.csv,[],no,1.0,,2,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,0.0,0.0,,0.0,Minneapolis,11022021,CityCouncilWard8
127,127,127,Minneapolis_11022021_CityCouncilWard9.csv,[],no,0.89817584,,8,LOCAL,NO,R,Jason Chavez,Jason Chavez,Jason Chavez,Jason Chavez,,Jason Chavez,Jason Chavez,Jason Chavez,Jason Chavez,0.076076075,0.0,0.0,1.3505716,0.0,Minneapolis,11022021,CityCouncilWard9
128,128,128,Minneapolis_11022021_Mayor.csv,[],no,0.88374454,,18,LOCAL,NO,E,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,,Jacob Frey,Jacob Frey,Jacob Frey,Jacob Frey,0.5015015,0.024548642,0.00010223,0.043614943,0.0,Minneapolis,11022021,Mayor
129,129,129,Minneapolis_11022021_ParkBoardAtLarge.csv,[],no,0.83058834,,7,LOCAL,NO,B,Meg Forney,Meg Forney,Meg Forney,Meg Forney,,Meg Forney,Meg Forney,Meg Forney,Meg Forney,0.45045045,0.18405142,0.20878974,2.0488105,0.0,Minneapolis,11022021,ParkBoardAtLarge
130,130,130,Minneapolis_11022021_ParkBoardDistrict2.csv,"['IRV', 'Condorcet', 'Approval']",yes,0.85455054,,3,LOCAL,NO,B,Becka Thompson,Eric Moran,Becka Thompson,Becka Thompson,,Eric Moran,Becka Thompson,Eric Moran,Becka Thompson,0.991992,0.52335757,0.52503604,2.9097145,0.0,Minneapolis,11022021,ParkBoardDistrict2
131,131,131,Minneapolis_11022021_ParkBoardDistrict3.csv,[],no,0.93116611,,3,LOCAL,NO,B,Becky Alper,Becky Alper,Becky Alper,Becky Alper,,Becky Alper,Becky Alper,Becky Alper,Becky Alper,0.47347346,0.095679447,0.0,1.4661487,0.0,Minneapolis,11022021,ParkBoardDistrict3
132,132,132,Minneapolis_11022021_ParkBoardDistrict4.csv,[],no,1.0,,2,LOCAL,NO,B,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,Elizabeth Shaffer,0.995996,0.17776999,0.0,,0.0,Minneapolis,11022021,ParkBoardDistrict4
133,133,133,Minneapolis_11022021_ParkBoardDistrict5.csv,[],no,0.90434229,,3,LOCAL,NO,B,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,0.45445445,0.11397987,0.0,1.9474074,0.0,Minneapolis,11022021,ParkBoardDistrict5
134,134,134,Minneapolis_11022021_ParkBoardDistrict6.csv,['Plurality'],no,0.89107335,,4,LOCAL,NO,B,Cathy Abene,Cathy Abene,Cathy Abene,Risa Hustad,,Cathy Abene,Cathy Abene,Cathy Abene,Cathy Abene,0.98698699,0.020244541,0.0,3.5892282,0.0,Minneapolis,11022021,ParkBoardDistrict6
135,135,135,Minneapolis_11052013_Mayor.csv,[],no,0.79750055,,35,LOCAL,NO,E,BETSY HODGES,BETSY HODGES,BETSY HODGES,BETSY HODGES,,BETSY HODGES,BETSY HODGES,BETSY HODGES,BETSY HODGES,0.4894895,4.82e-05,5.31e-05,0.14520034,0.0,Minneapolis,11052013,Mayor
136,136,136,Minneapolis_11052013_PRBoardDistrict2.csv,[],no,1.0,,2,LOCAL,NO,B,JON OLSON,JON OLSON,JON OLSON,JON OLSON,,JON OLSON,JON OLSON,JON OLSON,JON OLSON,0.993994,0.17676312,0.0,,0.0,Minneapolis,11052013,PRBoardDistrict2
137,137,137,Minneapolis_11052013_PRBoardDistrict6.csv,[],no,1.0,,2,LOCAL,NO,B,BRAD BOURN,BRAD BOURN,BRAD BOURN,BRAD BOURN,,BRAD BOURN,BRAD BOURN,BRAD BOURN,BRAD BOURN,0.994995,0.2349243,0.0,,0.0,Minneapolis,11052013,PRBoardDistrict6
138,138,138,Minneapolis_11052013_Ward13CityCouncil.csv,[],no,0.68847442,,5,LOCAL,NO,R,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,0.14214215,0.15419005,0.169664,2.2083156,0.0,Minneapolis,11052013,Ward13CityCouncil
139,139,139,Minneapolis_11052013_Ward5CityCouncil.csv,[],no,0.84450173,,4,LOCAL,NO,R,BLONG YANG,BLONG YANG,BLONG YANG,BLONG YANG,,BLONG YANG,BLONG YANG,BLONG YANG,BLONG YANG,0.23123123,0.0,0.0,2.1440418,0.0,Minneapolis,11052013,Ward5CityCouncil
140,140,140,Minneapolis_11052013_Ward9CityCouncil.csv,[],no,0.80072027,,6,LOCAL,NO,R,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,ALONDRA CANO,0.32932934,0.12722401,0.13130438,3.07096,0.0,Minneapolis,11052013,Ward9CityCouncil
141,141,141,Minneapolis_11062009_Mayor.csv,[],no,0.93491048,,11,LOCAL,NO,E,R.T. Rybak,R.T. Rybak,R.T. Rybak,R.T. Rybak,,R.T. Rybak,R.T. Rybak,R.T. Rybak,R.T. Rybak,0.060060062,0.0,0.0,1.1437283,0.0,Minneapolis,11062009,Mayor
142,142,142,Minneapolis_11062009_PRBoardDistrict1.csv,[],no,0.92381769,,3,LOCAL,NO,B,Liz Wielinski,Liz Wielinski,Liz Wielinski,Liz Wielinski,,Liz Wielinski,Liz Wielinski,Liz Wielinski,Liz Wielinski,0.46646646,0.0,0.0,0.89515984,0.0,Minneapolis,11062009,PRBoardDistrict1
143,143,143,Minneapolis_11062009_PRBoardDistrict2.csv,[],no,1.0,,2,LOCAL,NO,B,Jon Olson,Jon Olson,Jon Olson,Jon Olson,,Jon Olson,Jon Olson,Jon Olson,Jon Olson,0.995996,0.31524065,0.0,,0.0,Minneapolis,11062009,PRBoardDistrict2
144,144,144,Minneapolis_11062009_PRBoardDistrict3.csv,[],no,1.0,,2,LOCAL,NO,B,Scott Vreeland,Scott Vreeland,Scott Vreeland,Scott Vreeland,,Scott Vreeland,Scott Vreeland,Scott Vreeland,Scott Vreeland,0.996997,0.0,0.0,,0.0,Minneapolis,11062009,PRBoardDistrict3
145,145,145,Minneapolis_11062009_PRBoardDistrict5.csv,['Plurality'],no,0.91581374,,5,LOCAL,NO,B,Carol Kummer,Carol Kummer,Carol Kummer,Carol Kummer,,Carol Kummer,Jason Stone,Carol Kummer,Carol Kummer,0.16016015,0.13121797,0.15928569,3.6753325,0.0,Minneapolis,11062009,PRBoardDistrict5
146,146,146,Minneapolis_11062009_PRBoardDistrict6.csv,[],no,0.95493329,,4,LOCAL,NO,B,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn,,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn,0.16016015,0.0,0.0,3.5649297,0.0,Minneapolis,11062009,PRBoardDistrict6
