,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
19,85,300,LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,0.604004004,0.423623624,0.27480916,0.75066668,4,4,LOCAL,NO,R,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,"JACK L VALENCIA, JR",0.344776959,0.443535773,0.179085022,0.179085022,0,3.705697023,0,[],no,
22,61,444,Portland_06142022_SchoolboardAL-1.csv,0.0478,0.0479,0.278000803,0.70138186,7,7,LOCAL,NO,B,"Lentz, Sarah M.","Lentz, Sarah M.","Lentz, Sarah M.","Grant, Benjamin K.","Lentz, Sarah M.",0.349125712,0.443535773,0.094410061,0.094410061,0,3.363272091,0,[],no,
24,44,453,TakomaPark_11082022_CityCouncilWard6.csv,0.17002997,0.173226773,0.279538905,0.67384613,5,7,LOCAL,NO,R,Jason Small,Jason Small,Jason Small,Mike Moore,Jason Small,0.59681548,0.443535773,0.153279707,0.153279707,0.002018343,3.855044013,0,"['IRV', 'Condorcet']",yes,
27,1,492,Portland_06082021_charter_commission_at_large.csv,,9.99E-05,0.283335608,0.36282882,11,11,LOCAL,NO,B,"Chann, Marpheen S.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Sheikh-Yousef, Nasreen A.","Houseal, Ian P.",0.456683154,0.443535773,0.114388707,0.114388707,0.038030609,3.31253295,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
34,18,483,Oakland_11052024_CityCouncil_AtLarge.csv,0.1499,0.1458,0.305240466,0.557338143,5,10,LOCAL,NO,R,ROWENA BROWN,ROWENA BROWN,ROWENA BROWN,ROWENA BROWN,FABIAN ROBINSON,0.414801382,0.443535773,0.09925855,0.09925855,,2.82968494,,,,
41,163,397,SanFrancisco_11052024_BoS_D1.csv,0.3302,0.2273,0.325941151,0.839089526,5,5,LOCAL,NO,B,CONNIE CHAN,CONNIE CHAN,CONNIE CHAN,CONNIE CHAN,SHERMAN D'SILVA,0.468518563,0.443535773,0.515139443,0.515139443,,4.044568178,,,,
43,28,394,RedondoBeach_03042025_Mayor.csv,0.3049,0.2382,0.332488114,0.621120806,6,5,LOCAL,NO,E,JAMES A LIGHT,JAMES A LIGHT,JAMES A LIGHT,JAMES A LIGHT,JEFF GINSBURG,0.478453252,0.443535773,0.556464227,0.556464227,,5.057723086,,,,
47,68,450,SanFrancisco_11052024_BoS_D11.csv,0.0553,0.0478,0.340317978,0.716041004,7,7,LOCAL,NO,B,CHYANNE CHEN,CHYANNE CHEN,MICHAEL LAI,CHYANNE CHEN,OSCAR FLORES,0.262677224,0.443535773,0.556464227,0.556464227,,4.327890718,,,,
54,21,509,PortlandOR_11052024_Mayor.csv,0.030139721,0.028343313,0.35595198,0.566948313,6,21,LOCAL,NO,E,Keith.Wilson,Keith.Wilson,Keith.Wilson,Keith.Wilson,Liv..Viva..Osthus,0.449297687,0.443535773,0.283514269,0.283514269,,3.387120729,,,,
56,115,481,Oakland_04152025_Mayor.csv,0.16023976,0.161438561,0.357875758,0.793965225,5,10,LOCAL,NO,E,BARBARA LEE,BARBARA LEE,BARBARA LEE,BARBARA LEE,SUZ ROBINSON,0.455043841,0.443535773,0.128249758,0.128249758,,3.38106508,,,,
58,37,341,Oakland_11082022_CityCouncilmemberDistrict6.csv,0.5788,0.3883,0.35917168,0.65778106,5,4,LOCAL,NO,R,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS,KEVIN JENKINS,YAKPASUA MICHAEL GBAGBA ZAZABOI,0.300146725,0.443535773,0.443535773,0.443535773,0,5.507497528,0,[],no,
60,161,420,Portland_06142022_Schoolboarddistrict5-1.csv,0.25035035,0.193093093,0.360583942,0.83700669,5,6,LOCAL,NO,B,"Brydon, Sarah M.","Brydon, Sarah M.","Brydon, Sarah M.","Brydon, Sarah M.","Goglin, Barbara E.",0.328417674,0.443535773,0.216702813,0.216702813,0,5.478157999,0,[],no,
62,30,504,SanFrancisco_11052024_Mayor.csv,,,0.366801846,0.638797954,10,15,LOCAL,NO,E,DANIEL LURIE,DANIEL LURIE,DANIEL LURIE,DANIEL LURIE,NELSON MEI,0.42429722,0.443535773,0.148459276,0.148459276,,4.107506461,,,,
64,26,347,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT5.csv,0.5944,0.4049,0.370900036,0.61063278,4,4,LOCAL,NO,B,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,DANIEL LANDRY,0.32783859,0.443535773,0.232980739,0.232980739,0,2.475148346,0,[],no,
66,159,501,Portland_06142022_Schoolboarddistrict5.csv,,0.12781655,0.373722628,0.83435899,5,14,LOCAL,NO,B,"Brydon, Sarah M.","Brydon, Sarah M.","Brydon, Sarah M.","Brydon, Sarah M.",Ballot Style,0.479982902,0.443535773,0.1240981,0.1240981,0,4.801477023,0,[],no,
70,116,398,SanFrancisco_11052024_BoS_D5.csv,0.3086,0.2466,0.378834816,0.795634921,5,5,LOCAL,NO,B,BILAL MAHMOOD,BILAL MAHMOOD,DEAN PRESTON,BILAL MAHMOOD,SCOTTY JACOBS,0.432710546,0.443535773,0.257376012,0.257376012,,4.316274903,,,,
73,17,512,Portland_06142022_SchoolboardAL.csv,,,0.397672552,0.54807907,7,29,LOCAL,NO,B,"Lentz, Sarah M.","Lentz, Sarah M.","Lentz, Sarah M.","Grant, Benjamin K.",10003,0.436362436,0.443535773,0.174530573,0.174530573,0.036242839,3.275247055,0,[],no,
74,72,426,SanFrancisco_11052024_BoS_D3.csv,0.142957043,0.123076923,0.398683783,0.723188557,6,6,LOCAL,NO,B,DANNY SAUTER,DANNY SAUTER,DANNY SAUTER,DANNY SAUTER,MATTHEW SUSK,0.436969287,0.443535773,0.299458386,0.299458386,,3.887294828,,,,
76,259,227,Minneapolis_11072023_CityCouncilWard7.csv,0.8935,0.5131,0.41221374,0.896988708,3,3,LOCAL,NO,R,Katie Cashman,Katie Cashman,Katie Cashman,Katie Cashman,Scott Graham,0.66058084,0.443535773,0.556464227,0.556464227,,2.711184449,,,,
77,80,451,SanFrancisco_11052024_BoS_D9.csv,0.0494,0.0474,0.413560811,0.736468149,7,7,LOCAL,NO,B,JACKIE FIELDER,JACKIE FIELDER,JACKIE FIELDER,JACKIE FIELDER,JAIME GUTIERREZ,0.513676866,0.443535773,0.556464227,0.556464227,,5.573900668,,,,
81,81,421,PortlandME_11052024_CityCouncilAtLarge.csv,0.1447,0.1276,0.425699129,0.737349183,6,6,LOCAL,NO,R,"Grant, Benjamin K.","Grant, Benjamin K.","Grant, Benjamin K.","Grant, Benjamin K.","Mazer, Brandon J.",0.39915199,0.443535773,0.241341901,0.241341901,,3.079597456,,,,
82,55,338,Oakland_11052024_CityCouncilD7.csv,0.611688312,0.455044955,0.426711864,0.692809978,5,4,LOCAL,NO,R,KEN HOUSTON,KEN HOUSTON,KEN HOUSTON,KEN HOUSTON,MARCIE HODGE,0.489363519,0.443535773,0.114484313,0.114484313,,3.273247046,,,,
83,12,485,Oakland_11082022_Mayor.csv,0.134134134,0.133433433,0.428820045,0.50684404,5,10,LOCAL,NO,E,SHENG THAO,SHENG THAO,LOREN MANUEL TAYLOR,SHENG THAO,TREVA D. REID,0.437312802,0.443535773,0.085595514,0.085595514,0.12018447,3.017878722,0,"['IRV', 'Condorcet', 'Approval']",yes,
87,86,348,SanFrancisco_11052019_DistrictAttorney.csv,0.6003,0.4628,0.437705513,0.75159866,4,4,LOCAL,NO,O,CHESA BOUDIN,CHESA BOUDIN,CHESA BOUDIN,SUZY LOFTUS,SUZY LOFTUS,0.352884205,0.443535773,0.443535773,0.443535773,0.3528842,3.720821039,0,"['IRV', 'Condorcet']",yes,
88,82,356,SanFrancisco_11082022_BoardofSupervisorsD6.csv,0.6679,0.4076,0.455224933,0.73826164,4,4,LOCAL,NO,B,MATT DORSEY,MATT DORSEY,MATT DORSEY,MATT DORSEY,CHERELLE JACKSON,0.360244255,0.443535773,0.556464227,0.556464227,0,3.851147351,0,[],no,
89,64,422,PortlandME_11052024_CityCouncilDistrict2.csv,0.1573,0.1328,0.460756276,0.706543191,6,6,LOCAL,NO,R,"Pelletier, Wesley K.","Pelletier, Wesley K.","Pelletier, Wesley K.","English, Nancy L.","Pelletier, Wesley K.",0.465671402,0.443535773,0.022135629,0.022135629,,3.465713025,,,,
91,67,430,TakomaPark_11082022_Mayor.csv,0.4456,0.4093,0.468433104,0.71481156,4,6,LOCAL,NO,E,Talisha Searcy,Talisha Searcy,Talisha Searcy,Talisha Searcy,Seth Grimes]Jarrett Smith,0.374507858,0.443535773,0.429823403,0.429823403,0.000259423,4.836281016,0,[],no,
92,38,336,Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,0.60960961,0.449049049,0.472214413,0.66021454,5,4,LOCAL,NO,B,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,SHEILA POPE-LAWRENCE,0.355944749,0.443535773,0.244040056,0.244040056,0,3.382750958,0,[],no,
93,53,370,Minneapolis_11052013_Ward13CityCouncil.csv,0.7915,0.6835,0.472530913,0.68847442,3,5,LOCAL,NO,R,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,LINEA PALMISANO,BOB REUER,0.565972431,0.443535773,0.556464227,0.556464227,0.169664,4.401970856,0,[],no,
94,219,237,Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,0.897897898,0.539239239,0.477324441,0.87749738,5,3,LOCAL,NO,R,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,REBECCA KAPLAN,DERRECK B. JOHNSON,0.472889377,0.443535773,0.443535773,0.443535773,0.47288936,3.345657874,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
97,106,415,Oakland_04152025_CityCouncilD2.csv,0.214785215,0.191008991,0.484161267,0.778447387,5,6,LOCAL,NO,R,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,CHARLENE WANG,PAULA F.L. THOMAS,0.381953166,0.443535773,0.428520886,0.428520886,,4.976418456,,,,
98,345,257,SanFrancisco_11032015_Sheriff.csv,0.8904,0.525,0.486642477,0.96370304,3,3,LOCAL,NO,O,VICKI HENNESSY,VICKI HENNESSY,VICKI HENNESSY,VICKI HENNESSY,VICKI HENNESSY,0.401077431,0.443535773,0.042458343,0.042458343,0,4.189288149,0,[],no,
99,91,363,Berkeley_11052024_Mayor.csv,0.291708292,0.240659341,0.489710104,0.761214644,5,5,LOCAL,NO,E,ADENA ISHII,ADENA ISHII,ADENA ISHII,ADENA ISHII,NAOMI D. PETE,0.195825593,0.443535773,0.556464227,0.556464227,,5.988202243,,,,
102,59,299,Eastpointe_11052019_CityCouncil.csv,0.6161,0.4768,0.494532628,0.69992006,4,4,LOCAL,NO,R,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Harvey Curley,0.321489158,0.443535773,0.210764039,0.210764039,0,3.212167959,0,[],no,
103,88,352,SanFrancisco_11082005_AssessorRecorder.csv,0.7966,0.6619,0.515773165,0.75211823,3,4,LOCAL,NO,O,Phil Ting,Phil Ting,Phil Ting,Phil Ting,Phil Ting,0.358413182,0.443535773,0.085122591,0.085122591,0.25777915,3.614385884,0,[],no,
104,213,226,Minneapolis_11072023_CityCouncilWard5.csv,0.9084,0.5231,0.51995439,0.865752551,3,3,LOCAL,NO,R,Jeremiah Bey Ellison,Jeremiah Bey Ellison,Jeremiah Bey Ellison,Jeremiah Bey Ellison,"Phillip ""OMac"" Peterson",0.644248007,0.443535773,0.556464227,0.556464227,,7.177144584,,,,
105,251,187,Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,0.874774775,0.522022022,0.520984665,0.89278227,5,3,LOCAL,NO,R,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,TODD ANDREW,0.596265566,0.443535773,0.556464227,0.556464227,0,4.141690503,0,[],no,
106,188,258,SanFrancisco_11042008_BoardofSupervisorsDistrict4.csv,0.865,0.5696,0.525725594,0.8553521,3,3,LOCAL,NO,B,CARMEN CHU,CARMEN CHU,CARMEN CHU,CARMEN CHU,RON DUDUM,0.478362457,0.443535773,0.556464227,0.556464227,0.52163756,3.619026644,0,['Approval'],no,
107,218,256,SanFrancisco_11032015_BoardofSupervisorsDistrict3.csv,0.9037,0.5213,0.536176865,0.87565851,3,3,LOCAL,NO,B,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,WILMA PANG,0.458731193,0.443535773,0.556464227,0.556464227,0.54126883,7.142454761,0,[],no,
109,243,225,Minneapolis_11072023_CityCouncilWard12.csv,0.9045,0.5489,0.539179509,0.890281098,3,3,LOCAL,NO,R,Aurin Chowdhury,Aurin Chowdhury,Aurin Chowdhury,Aurin Chowdhury,Luther Ranheim,0.330307384,0.443535773,0.556464227,0.556464227,,3.876721513,,,,
112,102,357,SanFrancisco_11082022_DistrictAttorney.csv,0.568131868,0.417582418,0.549498357,0.77481455,4,4,LOCAL,NO,O,BROOKE JENKINS,BROOKE JENKINS,BROOKE JENKINS,BROOKE JENKINS,JOHN HAMASAKI,0.339632899,0.443535773,0.443535773,0.443535773,0.3396329,2.851225508,0,"['IRV', 'Condorcet']",yes,
114,255,369,Minneapolis_11022021_CityCouncilWard2.csv,0.791891892,0.675875876,0.554850834,0.89559919,3,5,LOCAL,NO,R,Robin Wonsley Worlobah,-1,Robin Wonsley Worlobah,Yusra Arab,,,,0.24963468,,0.24963468,4.302807855,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
116,50,287,Albany_11082022_BoardofEducation.csv,0.5908,0.4249,0.557336621,0.68710524,5,4,LOCAL,NO,B,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,BECKY HOPWOOD,0.30458597,0.443535773,0.243146373,0.243146373,0.018024703,4.510701378,0,[],no,
118,204,243,Oakland_11052024_CityCouncilD5.csv,0.8765,0.5808,0.560403268,0.861844683,5,3,LOCAL,NO,R,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,ERIN ARMSTRONG,0.651239261,0.443535773,0.443535773,0.443535773,,4.044085221,,,,
119,282,272,StLouisPark_11022021_CityCouncilWard3.csv,0.869,0.6013,0.563583815,0.91200596,3,3,LOCAL,NO,R,Sue Budd,Sue Budd,Sue Budd,Sue Budd,Sue Budd,0.51935401,0.443535773,0.075818237,0.075818237,0,3.384441902,0,[],no,
120,164,349,SanFrancisco_11052019_MemberBoardofSupervisorsDistrict5.csv,0.5932,0.4156,0.564614757,0.83989537,4,4,LOCAL,NO,B,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,DEAN PRESTON,RYAN LAM,0.643205194,0.443535773,0.443535773,0.443535773,0.22074579,4.420641667,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
122,215,350,SanFrancisco_11052024_BoS_D7.csv,0.6016,0.4152,0.565942443,0.869957679,4,4,LOCAL,NO,B,MYRNA MELGAR,MYRNA MELGAR,MYRNA MELGAR,MYRNA MELGAR,MATT BOSCHETTO,0.397894106,0.443535773,0.443535773,0.443535773,,3.279190286,,,,
124,84,184,Berkeley_11022010_CityCouncilDistrict7.csv,0.8877,0.5737,0.569015245,0.74910051,3,3,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,CECILIA ''CES'' ROSALES,0.504731599,0.443535773,0.556464227,0.556464227,0.4952684,4.522202976,0,['Approval'],no,
126,99,403,TakomaPark_11082022_CityCouncilWard3.csv,0.5113,0.4528,0.569655172,0.7718659,4,5,LOCAL,NO,R,Randy Gibson,Randy Gibson,Randy Gibson,Randy Gibson,Mimi Diez]Randy Gibson,0.335462717,0.443535773,0.443535773,0.443535773,0.16480596,5.913763517,0,['Approval'],no,
127,118,484,Oakland_11062018_Mayor.csv,0.7525,0.7129,0.571391936,0.79799885,3,10,LOCAL,NO,E,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,PETER YUAN LIU,0.45550012,0.443535773,0.332238956,0.332238956,0,5.705408752,0,[],no,
129,92,267,SanLeandro_11062018_CountyCouncilDistrict1.csv,0.863736264,0.595104895,0.581577982,0.76261246,3,3,LOCAL,NO,R,DEBORAH COX,DEBORAH COX,DEBORAH COX,DEBORAH COX,KENNETH PON,0.479083456,0.443535773,0.556464227,0.556464227,0,4.006672594,0,[],no,
130,288,355,SanFrancisco_11082016_BoardofSupervisorsDistrict9.csv,0.8401,0.7256,0.586573476,0.91840482,3,4,LOCAL,NO,B,HILLARY RONEN,HILLARY RONEN,HILLARY RONEN,HILLARY RONEN,MELISSA SAN MIGUEL,0.545233726,0.443535773,0.311076413,0.311076413,0,3.991497931,0,[],no,
131,311,310,Minneapolis_11062009_Ward12CityCouncil.csv,0.8579,0.7579,0.5875943,0.93589473,3,4,LOCAL,NO,R,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Rick L. Nyhlen,0.529412798,0.443535773,0.556464227,0.556464227,0,4.176584402,0,[],no,
132,269,214,Minneapolis_11022021_ParkBoardDistrict5.csv,0.8604,0.571,0.587636782,0.90434229,3,3,LOCAL,NO,B,Steffanie Musich,Steffanie Musich,Steffanie Musich,Steffanie Musich,Charles Rodgers,0.542997933,0.443535773,0.556464227,0.556464227,0,3.842732249,0,[],no,
133,57,346,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT3.csv,0.6066,0.3837,0.588853162,0.6955229,4,4,LOCAL,NO,B,AARON PESKIN,AARON PESKIN,AARON PESKIN,AARON PESKIN,DANNY SAUTER,0.31199753,0.443535773,0.443535773,0.443535773,0,2.989659254,0,[],no,
134,252,223,Minneapolis_11072017_Ward12CityCouncil.csv,0.8377,0.5302,0.593832268,0.89367986,3,3,LOCAL,NO,R,Andrew Johnson,Andrew Johnson,Andrew Johnson,Andrew Johnson,Will Jaeger,0.474769505,0.443535773,0.556464227,0.556464227,0,5.867077841,0,[],no,
138,314,218,Minneapolis_11062009_Ward7CityCouncil.csv,0.8745,0.5363,0.605224964,0.93780011,3,3,LOCAL,NO,R,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,Jeffrey Alan Wagner,0.643800599,0.443535773,0.443535773,0.443535773,0,7.707206512,0,[],no,
139,152,486,SanFrancisco_11082016_BoardofSupervisorsDistrict1.csv,0.725525526,0.684684685,0.610616769,0.82621825,3,10,LOCAL,NO,B,SANDRA LEE FEWER,SANDRA LEE FEWER,SANDRA LEE FEWER,SANDRA LEE FEWER,SAMUEL KWONG,0.402028074,0.443535773,0.323030747,0.323030747,0,4.330537032,0,"['IRV', 'Condorcet', 'Approval']",no,
140,105,292,Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,0.594305694,0.468331668,0.610778443,0.77812994,5,4,LOCAL,NO,R,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,0.332452656,0.443535773,0.111083117,0.111083117,0,3.104742393,0,[],no,
141,347,242,Oakland_11052024_CityCouncilD1.csv,0.8537,0.5603,0.61305483,0.968248151,5,3,LOCAL,NO,R,ZAC UNGER,ZAC UNGER,ZAC UNGER,ZAC UNGER,ZAC UNGER,0.339225577,0.443535773,0.104310196,0.104310196,,3.147833437,,,,
142,361,263,SanLeandro_11022010_CountyCouncilDistrict1.csv,0.9352,0.5015,0.614035088,0.99859643,3,3,LOCAL,NO,R,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,MICHAEL J. GREGORY,0.573345876,0.443535773,0.129810102,0.129810102,0,2.972270441,0,[],no,
143,73,271,Springville_11022021_Mayor.csv,0.8727,0.5662,0.614243323,0.72385621,3,3,LOCAL,NO,E,MATT PACKARD,MATT PACKARD,MATT PACKARD,MATT PACKARD,RYAN MILLER,0.55830151,0.443535773,0.443535773,0.443535773,0,4.778797291,0,[],no,
145,109,505,Oakland_11042014_Mayor.csv,0.7148,0.6946,0.616898793,0.78096467,3,16,LOCAL,NO,E,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,LIBBY SCHAAF,COURTNEY RUBY,0.489680166,0.443535773,0.047511646,0.047511646,0.000158286,2.790943471,0,[],no,
147,111,202,LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,0.877077077,0.601801802,0.618940248,0.78333336,3,3,LOCAL,NO,R,JOHANA BENCOMO,JOHANA BENCOMO,JOHANA BENCOMO,JOHANA BENCOMO,ANTOINETTE M REYES,0.475903994,0.443535773,0.443535773,0.443535773,0.47590399,4.156403266,0,['Approval'],no,
149,148,322,Minneapolis_11072017_Ward9CityCouncil.csv,0.8294,0.717,0.622931897,0.82210928,3,4,LOCAL,NO,R,Alondra Cano,Alondra Cano,Alondra Cano,Alondra Cano,Gary Schiff,0.619248076,0.443535773,0.556464227,0.556464227,0.25619152,4.062394279,0,['Approval'],no,
151,162,291,Berkeley_11032020_MayorBerkeleyRCV.csv,0.6247,0.4039,0.623806671,0.8385781,5,4,LOCAL,NO,E,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,AIDAN HILL,0.460067546,0.443535773,0.318094327,0.318094327,0,4.176981692,0,[],no,
152,154,273,TakomaPark_11082022_CityCouncilWard1.csv,0.8585,0.6134,0.625796178,0.82707876,4,3,LOCAL,NO,R,Shana Fulcher,Shana Fulcher,Shana Fulcher,Shana Fulcher,Elizabeth Wallace,0.54257723,0.443535773,0.556464227,0.556464227,0,3.776877274,0,[],no,
156,187,212,Minneapolis_11022021_ParkBoardDistrict2.csv,0.8722,0.6573,0.631367925,0.85455054,3,3,LOCAL,NO,B,Becka Thompson,Becka Thompson,Becka Thompson,Becka Thompson,Eric Moran,0.525036033,0.443535773,0.443535773,0.443535773,0.52503604,3.678992863,0,"['IRV', 'Condorcet', 'Approval']",yes,
157,248,396,SanFrancisco_11042014_BoardofSupervisorsDistrict10.csv,0.782917083,0.7003996,0.631565022,0.8914212,3,5,LOCAL,NO,B,MALIA COHEN,MALIA COHEN,MALIA COHEN,MALIA COHEN,MARLENE TRAN,0.324826454,0.443535773,0.443535773,0.443535773,0.21870112,4.1031124,0,[],no,
158,97,360,SanLeandro_11062012_CountyCouncilDistrict4.csv,0.828971029,0.691608392,0.632979457,0.76987249,3,4,LOCAL,NO,R,BENNY LEE,BENNY LEE,BENNY LEE,BENNY LEE,DARLENE DAEVU,0.534490719,0.443535773,0.443535773,0.443535773,0.31803191,3.594129707,0,[],no,
159,223,229,Minnetonka_11072023_CityCouncilWard4.csv,0.8803,0.5597,0.633737185,0.880073238,3,3,LOCAL,NO,R,Kissy C. Coakley,Kissy C. Coakley,Kissy C. Coakley,Ted Nearman,David G. Larson,0.667552402,0.443535773,0.443535773,0.443535773,,5.867041016,,,,
160,144,245,Oakland_11062012_SchoolDirectorDistrict3.csv,0.8723,0.6398,0.6340069,0.81978351,3,3,LOCAL,NO,B,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,RICHARD FUENTES,0.498961698,0.443535773,0.556464227,0.556464227,0.50103831,3.637912213,0,['Approval'],no,
161,141,185,Berkeley_11022010_CityCouncilDistrict8.csv,0.8749,0.6088,0.635926573,0.81851852,3,3,LOCAL,NO,R,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,STEWART JONES,0.45712859,0.443535773,0.556464227,0.556464227,0,4.306768649,0,[],no,
162,174,425,SanFrancisco_11032015_Mayor.csv,0.773826174,0.716083916,0.641467613,0.84583563,3,6,LOCAL,NO,E,ED LEE,ED LEE,ED LEE,ED LEE,AMY FARAH WEISS,0.46266486,0.443535773,0.556464227,0.556464227,0,4.006257882,0,[],no,
163,100,477,SanFrancisco_11062012_BoardofSupervisorsDistrict7.csv,0.7433,0.7055,0.641790326,0.77295685,3,9,LOCAL,NO,B,NORMAN YEE,NORMAN YEE,NORMAN YEE,NORMAN YEE,ANDREW BLEY,0.491863875,0.443535773,0.13588135,0.13588135,0.078991987,4.129649174,0,[],no,
166,125,321,Minneapolis_11072017_Ward8CityCouncil.csv,0.8673,0.7183,0.643285372,0.8026883,3,4,LOCAL,NO,R,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,April Kane,0.362022708,0.443535773,0.443535773,0.443535773,0,6.509361876,0,[],no,
167,300,189,Berkeley_11052024_CityCouncilD3.csv,0.866733267,0.62967033,0.645288994,0.928880643,5,3,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,0.658422685,0.443535773,0.214886911,0.214886911,,3.303631213,,,,
168,260,317,Minneapolis_11072017_Ward4CityCouncil.csv,0.812787213,0.665834166,0.645487657,0.89804071,3,4,LOCAL,NO,R,Phillipe M. Cunningham,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,Stephanie Gasca,0.554168713,0.443535773,0.267696707,0.267696707,0,3.876628478,0,['Plurality'],no,
169,264,312,Minneapolis_11062009_Ward4CityCouncil.csv,0.80990991,0.684784785,0.646440129,0.89927185,3,4,LOCAL,NO,R,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Troy Parker,0.37703872,0.443535773,0.443535773,0.443535773,0.37703872,3.78168758,0,[],no,
172,349,217,Minneapolis_11062009_Ward13CityCouncil.csv,0.8599,0.5209,0.650526316,0.96972233,3,3,LOCAL,NO,R,Betsy Hodges,Betsy Hodges,Betsy Hodges,Betsy Hodges,Betsy Hodges,0.559904697,0.443535773,0.116368924,0.116368924,0,4.327950251,0,[],no,
173,233,388,Oakland_11042014_CityCouncilDistrict6.csv,0.8225,0.7357,0.652195692,0.88463604,3,5,LOCAL,NO,R,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,DESLEY BROOKS,MICHAEL V. JOHNSON,0.61329239,0.443535773,0.212832004,0.212832004,0,4.176870185,0,['Approval'],no,
174,203,249,Oakland_11082022_Schoolboarddistrict4.csv,0.870870871,0.668168168,0.658894128,0.8615576,5,3,LOCAL,NO,B,MIKE HUTCHINSON,-1,NICK RESNICK,MIKE HUTCHINSON,,,,0,,0,3.773881024,0,"['Condorcet', 'Plurality']",no,
175,195,452,SanFrancisco_11072006_BoardofSupervisorsDistrict10.csv,0.7891,0.7325,0.658980044,0.85826004,3,7,LOCAL,NO,B,Sophie Maxwell,Sophie Maxwell,Sophie Maxwell,Sophie Maxwell,Dwayne Jusino,0.460096123,0.443535773,0.18951255,0.18951255,0,3.079565952,0,[],no,
176,196,392,Oakland_11082016_SchoolDirectorDistrict3.csv,0.8144,0.7432,0.661603021,0.85838729,3,5,LOCAL,NO,B,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,JUMOKE HINTON HODGE,KHARYSHI ''MS. K'' WIGINTON,0.647485673,0.443535773,0.246047955,0.246047955,0,4.207940914,0,[],no,
